cosp	ada	ntu	democrat	firstelected	margin	appromember	budgetmember
0	75	9	1	92	20	0	0
1	15	59	0	92	12	0	0
1	80	24	1	92	6	0	0
1	15	69	0	88	30	0	0
1	5	79	0	92	12	0	0
1	0	73	0	81	38	0	0
1	20	67	0	83	18	0	0
1	15	75	0	71	14	1	0
0	75	19	1	63	14	0	0
1	10	71	0	92	4	0	0
1	10	83	0	92	16	0	1
1	10	77	0	88	64	0	0
1	60	19	1	90	2	0	0
1	5	81	0	83	22	0	0
0	75	8	1	92	100	1	0
0	30	49	0	89	34	0	0
0	90	23	1	88	26	0	1
1	90	23	1	92	18	0	0
1	35	47	0	92	100	0	0
1	10	74	0	81	16	0	0
0	90	12	1	92	30	0	0
1	10	76	0	92	14	0	0
0	75	12	1	92	28	0	0
1	10	84	0	92	10	0	0
1	5	79	0	92	2	0	0
0	100	17	1	86	44	0	0
1	0	75	0	79	16	0	0
0	45	14	1	83	14	1	0
0	20	37	1	83	12	0	0
1	15	49	1	92	18	0	0
1	45	31	1	92	8	0	0
0	100	19	1	92	40	0	0
0	100	17	1	90	52	0	0
0	100	18	1	90	54	0	1
0	60	27	1	90	22	0	0
1	5	78	0	92	26	0	0
0	95	20	1	92	64	0	0
0	90	17	1	92	70	0	0
0	45	36	1	83	26	0	0
0	100	21	1	92	54	0	0
0	90	18	1	59	18	0	0
1	10	71	0	75	32	0	0
0	100	20	1	73	66	0	0
1	15	87	0	69	16	0	0
0	85	18	1	65	44	1	0
1	25	77	0	80	30	1	0
0	75	24	1	88	12	0	0
0	65	27	1	88	42	0	1
1	15	84	0	84	36	0	0
1	5	76	0	86	34	0	0
1	5	79	0	91	18	0	0
1	5	84	0	92	12	0	0
0	100	20	1	83	20	0	0
1	0	69	0	57	16	0	0
1	60	37	1	88	38	0	0
0	90	22	1	83	14	1	0
0	75	20	1	84	38	1	0
0	85	30	1	75	18	0	0
1	45	41	1	90	14	0	0
0	75	41	1	89	24	0	0
1	0	76	0	92	2	0	0
1	10	75	0	83	46	0	0
1	10	59	0	67	18	1	0
0	90	18	1	83	6	0	0
0	45	30	1	65	40	0	0
1	90	49	1	75	28	0	0
1	55	64	0	77	38	0	0
1	20	89	0	90	2	0	0
1	10	55	0	84	2	1	0
0	65	12	1	59	26	1	0
1	20	70	0	86	100	0	0
1	0	75	0	81	40	0	0
1	60	32	1	83	16	0	0
1	25	73	0	84	22	0	0
0	70	20	1	77	10	0	0
0	65	26	1	92	21	0	0
0	65	13	1	53	22	1	0
0	55	23	1	71	6	0	0
1	10	80	0	86	24	0	1
0	20	44	0	81	8	1	0
1	40	40	1	92	20	0	0
1	0	69	0	77	100	1	0
0	95	14	1	90	100	0	0
1	35	57	1	80	100	0	0
0	95	16	1	92	48	0	0
1	0	73	0	88	26	0	0
0	0	76	0	86	2	0	0
1	20	38	1	86	100	0	0
0	100	23	1	90	30	0	0
1	40	76	0	79	7	0	1
1	30	63	0	90	4	0	0
1	10	53	0	84	30	1	0
0	90	22	1	86	48	0	0
0	100	21	1	92	52	0	0
0	70	14	1	81	10	1	0
1	5	78	0	92	8	0	0
0	100	18	1	86	70	0	0
1	60	44	0	86	44	0	0
0	95	18	1	91	8	1	0
0	95	19	1	88	26	0	0
1	30	71	0	92	6	0	0
0	100	22	1	81	44	0	1
1	90	32	1	92	16	0	0
1	30	67	0	92	10	0	0
0	95	20	1	76	40	0	0
0	95	20	1	86	66	0	0
0	80	19	1	73	52	0	0
0	90	22	1	73	37	0	0
1	70	25	1	92	10	0	0
1	20	80	0	92	28	0	0
1	5	77	0	90	28	0	0
1	65	28	1	92	22	0	0
1	35	77	0	86	24	0	0
1	10	84	0	92	74	0	1
0	85	19	1	83	2	1	0
0	90	23	1	77	8	0	1
0	90	13	1	77	10	0	0
1	5	84	0	92	18	0	0
0	95	21	1	83	8	0	0
0	95	20	1	65	6	0	0
0	80	21	1	65	68	0	0
0	100	18	1	90	64	0	0
0	70	19	1	55	34	0	0
1	65	54	1	83	48	0	0
1	75	50	1	92	0	0	0
1	35	89	0	90	32	0	0
0	100	23	1	77	22	0	0
0	100	17	1	79	38	1	1
1	0	81	0	92	12	0	0
1	60	47	1	90	2	0	0
0	90	20	1	75	32	0	0
0	45	11	1	41	20	1	0
0	94	21	1	93	10	0	0
0	30	24	1	67	62	0	0
1	20	43	1	88	49	0	1
1	25	69	1	89	27	0	0
0	100	14	1	69	36	0	0
1	10	75	0	92	2	0	0
0	90	14	1	77	32	0	1
0	35	24	1	77	40	0	0
0	100	18	1	83	24	0	0
1	60	31	1	92	10	0	0
1	5	76	0	88	24	0	0
1	0	62	0	81	26	0	0
0	60	19	1	77	3	0	0
0	80	22	1	79	3	0	0
1	10	65	0	79	20	0	0
0	65	36	1	88	2	0	0
1	5	68	0	90	44	0	0
1	65	23	1	86	20	0	0
1	10	59	0	83	6	1	0
1	10	80	0	90	12	0	0
1	65	39	1	90	26	0	0
1	60	36	1	90	40	0	0
0	75	28	1	75	16	0	0
1	20	74	0	84	24	0	0
1	30	69	0	81	26	0	0
1	35	67	0	81	48	0	0
0	90	38	1	88	8	0	0
1	35	79	0	92	12	0	1
0	75	27	1	92	6	0	0
0	85	13	1	83	22	0	0
0	100	18	1	88	58	0	0
1	10	62	0	84	46	1	0
1	40	88	0	90	34	0	0
0	90	18	1	92	36	0	0
1	5	62	0	88	26	0	0
1	5	64	0	81	12	1	0
0	75	14	1	83	37	0	0
0	80	16	1	86	2	0	0
1	40	62	0	92	6	0	1
1	15	67	0	92	2	0	0
1	15	72	0	92	4	0	0
0	80	18	1	83	6	0	0
0	90	19	1	86	62	0	0
0	70	13	1	84	12	0	0
0	95	19	1	90	65	0	0
0	95	20	1	81	78	0	0
0	95	16	1	83	92	0	0
0	95	21	1	83	90	0	0
0	95	21	1	92	56	0	0
1	25	70	0	90	18	0	0
1	95	26	1	92	2	0	0
0	95	18	1	71	90	0	0
0	100	18	1	90	82	1	0
0	90	14	1	88	67	0	0
0	90	19	1	88	10	1	0
1	30	66	0	69	20	0	0
1	55	54	0	73	38	0	0
0	60	19	1	88	27	0	0
1	15	84	0	79	32	0	0
1	60	44	0	83	35	0	0
1	20	77	0	92	38	0	0
1	35	63	0	88	12	1	0
0	95	18	1	92	4	0	0
1	5	83	0	88	26	0	0
0	100	24	1	86	10	0	1
0	75	25	1	75	13	0	0
1	30	71	0	92	6	0	0
1	20	63	0	86	53	0	0
0	100	18	1	90	36	0	0
1	30	31	1	83	10	0	0
0	50	28	1	86	12	0	0
0	70	19	1	86	32	1	1
0	50	24	1	75	8	0	0
1	5	87	0	84	42	0	0
0	70	13	1	73	16	0	0
0	65	22	1	75	22	1	0
1	10	72	0	84	34	0	1
1	11	81	0	86	30	0	0
1	5	73	0	90	10	1	0
0	100	19	1	92	44	0	0
0	65	28	1	92	18	0	1
1	35	37	1	92	8	0	0
1	6	84	0	93	40	0	0
0	70	21	1	79	20	0	0
1	5	70	0	81	22	0	0
1	15	63	0	88	100	0	0
0	85	23	1	92	2	0	0
1	15	70	0	90	42	1	1
1	0	79	0	90	42	0	0
0	70	29	1	83	54	1	0
0	15	77	0	92	14	0	1
0	90	12	1	69	56	1	0
1	0	77	0	83	42	0	1
1	95	23	1	92	20	0	0
0	85	17	1	86	36	0	0
1	10	72	0	92	7	0	0
1	30	63	0	73	28	1	0
1	75	26	1	84	68	0	0
0	80	22	1	77	36	0	0
1	90	35	1	92	6	0	0
1	10	81	0	86	6	0	0
0	85	19	1	79	15	0	0
0	25	31	1	90	50	0	0
0	50	30	1	81	42	0	0
1	10	83	0	92	6	1	0
0	30	42	1	75	36	0	0
0	95	20	1	92	8	0	0
1	5	78	0	83	34	0	0
1	95	24	1	81	62	0	0
1	100	30	1	86	44	0	0
0	85	14	1	90	30	0	0
0	95	19	1	81	62	1	0
0	100	16	1	91	54	0	1
0	70	15	1	83	20	0	0
0	65	29	1	92	58	0	0
1	5	66	0	79	100	0	0
1	60	38	1	92	4	0	0
1	25	74	0	86	32	0	0
1	20	78	0	92	6	0	0
1	10	81	0	73	100	0	0
0	20	59	0	63	18	1	0
0	70	23	1	84	34	0	0
0	50	11	1	74	100	1	0
1	80	38	1	92	0	0	0
0	95	17	1	81	46	0	1
1	65	29	1	92	6	0	0
1	5	83	0	77	30	0	0
1	5	80	0	83	40	0	0
1	20	74	0	90	22	0	0
1	10	73	0	75	11	0	0
1	65	42	1	77	2	0	0
1	10	67	0	83	34	0	0
1	40	53	0	88	48	0	0
0	90	20	1	90	50	0	0
1	15	69	0	86	32	0	0
1	5	64	0	71	76	0	0
0	65	17	1	75	22	0	0
1	10	86	0	92	2	0	1
0	55	20	1	83	22	0	0
0	90	16	1	92	30	0	0
1	65	28	1	86	43	0	0
1	5	53	0	63	42	0	0
1	20	82	0	88	48	0	0
1	50	25	1	75	2	0	0
1	55	39	1	83	32	0	1
1	55	30	1	88	44	0	0
0	60	26	1	84	16	0	1
1	5	67	0	83	26	0	0
1	50	35	1	88	68	0	0
0	80	20	1	75	34	0	0
0	45	24	1	85	100	1	0
0	60	19	1	73	12	1	0
1	0	81	0	91	72	0	0
1	20	54	1	81	20	0	0
0	90	19	1	83	22	0	1
1	0	80	0	84	44	0	0
1	5	84	0	71	100	0	0
1	0	80	0	81	52	0	0
0	60	11	1	53	12	0	0
0	65	14	1	63	44	0	0
0	35	30	1	90	34	0	0
1	20	51	1	89	26	0	0
1	40	25	1	88	20	0	0
0	20	32	1	88	44	0	0
0	35	14	1	65	20	0	0
0	65	12	1	83	4	1	0
1	10	45	1	79	32	0	1
0	90	20	1	89	36	0	0
1	5	65	0	84	54	0	0
0	80	11	1	61	100	0	0
1	5	74	0	86	50	0	1
1	0	80	0	84	36	1	0
1	5	72	0	92	22	1	0
0	65	15	1	79	20	0	0
0	55	30	1	83	18	0	1
1	0	81	0	84	46	0	0
0	40	13	1	83	14	0	0
0	45	10	1	92	74	0	0
1	85	18	1	92	32	0	0
0	90	13	1	92	48	0	0
1	0	70	0	81	37	0	0
0	80	26	1	92	4	0	0
1	25	53	1	90	24	0	1
0	95	21	1	90	28	0	0
1	5	53	0	83	20	0	0
0	20	29	1	86	12	0	0
0	90	11	1	92	58	0	0
0	45	32	1	83	38	0	0
0	30	27	1	88	38	0	0
1	5	43	0	92	20	0	0
1	5	70	0	81	66	0	0
0	80	17	1	90	14	1	0
0	60	16	1	83	26	0	0
1	10	68	0	81	30	1	0
0	95	24	1	92	4	0	0
1	80	32	1	92	14	0	0
0	95	13	1	79	12	0	0
0	95	19	1	88	12	0	0
1	75	35	1	92	2	0	0
0	83	15	1	65	10	0	0
0	75	13	1	77	40	1	0
0	85	18	1	88	62	0	0
1	5	73	0	92	26	0	0
0	90	24	1	92	11	0	0
0	45	14	1	83	100	1	1
0	70	16	1	83	42	0	1
0	70	20	1	77	32	0	0
1	80	45	1	93	1	0	0
1	40	77	0	90	26	0	0
1	30	68	0	81	14	0	0
0	80	21	1	84	34	0	0
0	90	32	1	92	40	0	0
1	20	80	0	79	6	0	0
0	90	21	1	69	28	1	0
1	25	75	0	79	40	0	0
1	20	93	0	79	42	0	0
1	10	78	0	89	19	0	0

